Category,Platform Name,Official Website,Referral Link,Notes,Status
Marketplace,zkmarkets,https://zkmarkets.xyz,,,Existing
Marketplace,topaz,https://topaz.so,,,Existing
Marketplace,supersweep,https://supersweep.io,,,Existing
Trading Bots/Platforms,Photon,https://photon-sol.tinyastro.io,https://photon-sol.tinyastro.io/@d3x7,,Existing
Trading Bots/Platforms,Bullx,https://bullx.io,https://t.me/BullxBetaBot?start=access_F99J7T8ORT,,Existing
Trading Bots/Platforms,Bullx Neo,https://neo.bullx.io,https://t.me/BullXNeoBot?start=access_Z7EJ8X3UOB,,
Trading Bots/Platforms,Axiom,https://axiom.trade,https://axiom.trade/@d3x7,,Existing
Trading Bots/Platforms,GMGN,https://gmgn.ai/,https://gmgn.ai/?ref=c0chR98s,,
Trading Bots/Platforms,Unibot,https://unibot.app,https://unibot.app/x?ref=d3x7,,
TG Trading Bots,Trojan,https://t.me/trojanbot,https://t.me/solana_trojanbot?start=r-dextrorsal,,Existing
TG Trading Bots,SOL trading,https://t.me/soltrading_bot,https://t.me/SolanaTradingBot?start=d5xD6OsVl,,Existing
TG Trading Bots,Maestro,https://t.me/MaestroSniperBot,https://t.me/maestro?start=r-dextrorsal,,Existing
TG Trading Bots,Bonkbot,https://t.me/bonkbot_bot,https://t.me/bonkbot_bot?start=ref_iht7j,,Existing
TG Trading Bots,fluxbot,https://t.me/fluxbot_sol,https://t.me/fluxbeam_bot?start=DextrorsaL,,Existing
TG Trading Bots,banana gun bot,https://t.me/BananaGunBot,https://t.me/BananaGun_bot?start=ref_D3X7,,Existing
TG Trading Bots,gmgn,https://t.me/gmgnai_bot,https://t.me/gmgnaibot?start=i_c0chR98s,,Existing
TG Trading Bots,bullxneo,https://t.me/bullxneobot,https://t.me/BullXNeoBot?start=access_Z7EJ8X3UOB,,Existing
TG Trading Bots,cielo,https://t.me/cielo_finance_bot,,,Existing
TG Trading Bots,magnum trading bot,https://t.me/magnum_trade_bot,https://t.me/magnum_trade_bot?start=DNJkrOrl,,Existing
TG Trading Bots,pumppill,https://t.me/pumppill_bot,https://t.me/pump_fun_bot?start=r_6385385407,,Existing
TG Trading Bots,Unibot,,https://t.me/unibotsniper_bot?start=d3x7,,
TG Trading Bots,KekBot,,https://t.me/realKekBot?start=BwtrJBIpJ,,
TG Trading Bots,PepeBoost,,https://t.me/pepeboost_sol11_bot?start=ref_0hy9rl,,
TG Trading Bots,,,,,
Staking,Stakecity,https://stakecity.com,,,Existing
Staking,Jito,https://www.jito.network,,,Existing
Staking,Pyth,https://pyth.network,,,Existing
Bridging,Owlito,https://owlto.finance,,,Existing
Bridging,Debridge,https://debridge.finance,,,Existing
Bridging,Wormhole,https://wormhole.com,,,Existing
Bridging,Portal,https://portalbridge.com,,,Existing
Bridging,Jumper,https://jumper.exchange,,,Existing
Bridging,All bridge,https://core.allbridge.io,,,Existing
Bridging,Mayanswap,https://mayan.finance,,,Existing
Bridging,Atomiq,https://atomiq.exchange,,,Existing
Bridging,orbiter,https://www.orbiter.finance,,,Existing
Bridging,bungee,https://www.bungee.exchange,,,Existing
Bridging,rango,https://rango.exchange,,,Existing
Bridging,stargate,https://stargate.finance,,,Existing
Social,Warpcast,https://warpcast.com,,,Existing
Social,SNS bonfida,https://sns.id,,,Existing
Social,Zora,https://zora.co,,,Existing
Social,Zealy,https://zealy.io,,,Existing
Social,Matrica,https://matrica.io,,,Existing
Gaming,Highrise,https://highrise.game,,,Existing
Gaming,God unchained,https://godsunchained.com,,,Existing
Tools,Sol incinerator,https://sol-incinerator.com,,,Existing
Tools,Dextools,https://www.dextools.io,,,Existing
Tools,Smithii,https://smithii.io,,,Existing
Tools,Cointool,https://cointool.app,,,Existing
Tools,fluxbeam,https://fluxbeam.xyz,,,Existing
Tools,rugcheck,https://rugcheck.xyz,,,Existing
Tools,defillama,https://defillama.com,,,Existing
Casino,500 casino,https://500.casino,,,Existing
Casino,stake,https://stake.com,,,Existing
Casino,gamdom,https://gamdom.com,,,Existing
Casino,shuffle,https://shuffle.com,,,Existing
Casino,toshibet,https://toshibet.io,,,Existing
Casino,cloudbet,https://www.cloudbet.com,,,Existing
Casino,bc.game,https://bc.game,,,Existing
Casino,vipcasino,https://vipcasino.org,,,Existing
Casino,rollbit,https://rollbit.com,,,Existing
Casino,solcasino,https://solcasino.io,,,Existing
Casino,roobet,https://roobet.com,,,Existing
Casino,7bit,https://7bitcasino.com,,,Existing
Casino,megadice,https://megadice.com,,,Existing
Wallets,metamask,https://metamask.io,,,Existing
Wallets,photon,https://photon-sol.tinyastro.io,,,Existing
Wallets,magic eden,https://wallet.magiceden.io,,,Existing
Wallets,coinbase,https://wallet.coinbase.com,,,Existing
Wallets,solflare,https://solflare.com,,,Existing
Wallets,jupmobile,https://jup.ag,,,Existing
Wallets,backpack,https://backpack.app,,,Existing
Wallets,trust,https://trustwallet.com,,,Existing
Wallets,trezor,https://trezor.io,,,Existing
Wallets,bitgetwallet,https://web3.bitget.com,,,Existing
Wallets,ledger,https://www.ledger.com,,,Existing
Wallets,bravewallet,https://brave.com/wallet,,,Existing
Wallets,ethereum wallet,https://ethereum.org/wallets,,,Existing
Wallets,xverse,https://www.xverse.app,,,Existing
Wallets,okx wallet,https://www.okx.com/web3,,,Existing
Wallets,glow,https://glow.app,,,Existing
Wallets,exodus,https://www.exodus.com,,,Existing
Wallets,binance,https://www.binance.com/en/wallet-direct,,,Existing
Wallets,unisat,https://unisat.io,,,Existing
Wallets,rainbow,https://rainbow.me,,,Existing
Wallets,seiglobal,https://sei.io,,,Existing
Wallets,bitski,https://www.bitski.com,,,Existing
Wallets,abstract,https://abs.xyz,,,Existing
